epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,8165.51,2.02375,1.19522,1.07979,1.65779,0.86369,0.97303,1.39033,1.22468,0.16555,0.0001,0,0.598217,0.552208,0.564755,0.316411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
55,8312.18,2.01742,1.19132,1.07231,1.65503,0.86023,0.96864,1.39289,1.21812,0.17467,0.0001,0,0.589244,0.559879,0.569218,0.32055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
56,8458.9,2.01142,1.18565,1.07188,1.64376,0.84436,0.96573,1.4448,1.27041,0.1743,9e-05,0,0.588221,0.560454,0.571284,0.322699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
57,8604.74,2.00007,1.179,1.06843,1.64444,0.85099,0.96972,1.39989,1.23395,0.16585,0.0001,0,0.590854,0.562903,0.572221,0.324642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
58,8750.16,1.99098,1.1706,1.06702,1.63672,0.84326,0.96791,1.40204,1.23914,0.16281,9e-05,0,0.585555,0.564371,0.572093,0.325284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122
59,8897.81,1.97964,1.16729,1.06479,1.63569,0.84858,0.96544,1.41421,1.24015,0.17397,0.0001,0,0.589611,0.567034,0.574553,0.328619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
60,9044.82,1.97852,1.1639,1.05731,1.63156,0.84504,0.96508,1.44151,1.27232,0.1691,9e-05,0,0.594643,0.566421,0.576247,0.329563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478
61,9191.74,1.97156,1.15031,1.05911,1.62612,0.83338,0.96395,1.35022,1.1756,0.17453,9e-05,0,0.591948,0.569157,0.576646,0.331818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
62,9337.91,1.96749,1.15564,1.05922,1.62759,0.83272,0.96182,1.3644,1.19204,0.17227,9e-05,0,0.594595,0.568868,0.579219,0.332359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427
63,9484.44,1.9709,1.14857,1.0578,1.63075,0.83756,0.96043,1.42357,1.23782,0.18565,0.0001,0,0.603634,0.57014,0.582,0.334639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
