epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,10356.4,1.94359,1.12998,1.05171,1.61453,0.82342,0.95893,1.14223,0.624419,0.576641,0.58848,0.340112,nan,nan,nan,nan,nan,nan,nan,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
68,10508.5,1.94161,1.13009,1.0493,1.61738,0.83051,0.95875,1.18461,0.625434,0.578195,0.589647,0.341792,nan,nan,nan,nan,nan,nan,nan,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033
69,10659.7,1.93486,1.11709,1.04476,1.60609,0.81892,0.95076,1.17127,0.622413,0.577649,0.589503,0.342427,nan,nan,nan,nan,nan,nan,nan,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
70,10810.2,1.9117,1.10502,1.04102,1.59679,0.81286,0.95411,1.15895,0.618198,0.579105,0.590721,0.343773,nan,nan,nan,nan,nan,nan,nan,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075
71,10961.1,1.92208,1.1133,1.04353,1.60098,0.81531,0.95392,1.12583,0.615906,0.578845,0.59155,0.344967,nan,nan,nan,nan,nan,nan,nan,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
72,11112.5,1.91468,1.10135,1.03987,1.60377,0.81566,0.9535,1.15928,0.621642,0.580404,0.593437,0.345844,nan,nan,nan,nan,nan,nan,nan,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013
73,11263.3,1.91035,1.09506,1.03759,1.60058,0.81221,0.9518,1.12396,0.627999,0.579149,0.594906,0.347552,nan,nan,nan,nan,nan,nan,nan,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
74,11415,1.91091,1.09503,1.03573,1.60075,0.81419,0.94812,1.14875,0.628775,0.580506,0.595429,0.348408,nan,nan,nan,nan,nan,nan,nan,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846
75,11564.9,1.89689,1.08371,1.02965,1.59289,0.80751,0.949,1.07953,0.627755,0.579226,0.595384,0.349455,nan,nan,nan,nan,nan,nan,nan,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
76,11714.6,1.90904,1.1011,1.03844,1.59025,0.80504,0.94915,1.12041,0.629135,0.582368,0.596217,0.350273,nan,nan,nan,nan,nan,nan,nan,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
77,11864.3,1.89804,1.08564,1.03742,1.58421,0.80031,0.94874,1.10439,0.629204,0.583192,0.597061,0.350915,nan,nan,nan,nan,nan,nan,nan,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
