epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,9306.36,1.96573,1.15313,1.07394,1.63389,0.8364,0.96532,0.22594,0.626591,0.566629,0.581854,0.332631,nan,nan,nan,nan,nan,nan,nan,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427
63,9456.88,1.97186,1.15368,1.07348,1.62902,0.83781,0.95842,0.23222,0.624307,0.570568,0.5832,0.334389,nan,nan,nan,nan,nan,nan,nan,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
64,9607.1,1.96279,1.14833,1.06545,1.62096,0.83065,0.95591,0.2427,0.62529,0.569404,0.583169,0.335909,nan,nan,nan,nan,nan,nan,nan,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631
65,9757.48,1.9478,1.13817,1.06872,1.60102,0.81639,0.9558,0.23066,0.628722,0.57086,0.584688,0.33804,nan,nan,nan,nan,nan,nan,nan,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
66,9907.59,1.95479,1.13858,1.07021,1.62131,0.8299,0.95938,0.2316,0.629824,0.573566,0.585909,0.339223,nan,nan,nan,nan,nan,nan,nan,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
67,10057.7,1.94261,1.13619,1.06965,1.62077,0.82806,0.95934,0.22584,0.633406,0.574772,0.588815,0.341175,nan,nan,nan,nan,nan,nan,nan,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
68,10208,1.93784,1.12714,1.06452,1.6071,0.82469,0.95456,0.2299,0.638921,0.574358,0.591477,0.342642,nan,nan,nan,nan,nan,nan,nan,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033
69,10358.1,1.94274,1.12769,1.0607,1.61147,0.82024,0.95148,0.21892,0.638499,0.574952,0.591848,0.343534,nan,nan,nan,nan,nan,nan,nan,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
70,10507.8,1.93329,1.11939,1.06437,1.60217,0.81878,0.95247,0.2248,0.633975,0.579882,0.592927,0.344036,nan,nan,nan,nan,nan,nan,nan,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075
71,10657.3,1.92365,1.11088,1.0561,1.598,0.8148,0.95042,0.22373,0.635355,0.580377,0.594116,0.345565,nan,nan,nan,nan,nan,nan,nan,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
72,10807,1.91736,1.10146,1.05565,1.59849,0.8167,0.95001,0.22129,0.635082,0.581279,0.595807,0.346496,nan,nan,nan,nan,nan,nan,nan,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013
73,10957.1,1.92036,1.09962,1.05051,1.60213,0.81754,0.94989,0.22713,0.635323,0.583658,0.597293,0.348489,nan,nan,nan,nan,nan,nan,nan,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
74,11107,1.91331,1.105,1.05542,1.58886,0.80656,0.94929,0.21291,0.637965,0.583128,0.599408,0.350231,nan,nan,nan,nan,nan,nan,nan,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846
75,11256.9,1.89738,1.09254,1.04693,1.59401,0.80994,0.9485,0.22533,0.640295,0.5834,0.600858,0.351361,nan,nan,nan,nan,nan,nan,nan,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
76,11407.3,1.89949,1.09122,1.04461,1.59282,0.80549,0.94627,0.23224,0.645587,0.582631,0.602792,0.35229,nan,nan,nan,nan,nan,nan,nan,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
77,11558.2,1.90189,1.09096,1.04753,1.58795,0.80348,0.94829,0.22255,0.645511,0.585687,0.604163,0.353293,nan,nan,nan,nan,nan,nan,nan,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
78,11709.3,1.89056,1.08343,1.03977,1.58299,0.80207,0.94451,0.21992,0.645538,0.587804,0.604391,0.353812,nan,nan,nan,nan,nan,nan,nan,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207
79,11860,1.89225,1.08087,1.04486,1.57982,0.80085,0.94469,0.22114,0.644839,0.587172,0.605081,0.354399,nan,nan,nan,nan,nan,nan,nan,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
80,12011.6,1.89968,1.08451,1.0438,1.57926,0.79411,0.94267,0.22555,0.6472,0.587287,0.605558,0.355558,nan,nan,nan,nan,nan,nan,nan,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736
81,12162.8,1.87041,1.0654,1.03939,1.56643,0.79183,0.94313,0.21625,0.649309,0.587285,0.605886,0.355986,nan,nan,nan,nan,nan,nan,nan,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
82,12313.1,1.86336,1.06175,1.03733,1.56355,0.79505,0.94204,0.21977,0.654528,0.585708,0.606634,0.357107,nan,nan,nan,nan,nan,nan,nan,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166
83,12463.3,1.8679,1.06396,1.03769,1.56368,0.79168,0.94426,0.22973,0.657371,0.586957,0.606977,0.357817,nan,nan,nan,nan,nan,nan,nan,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
84,12614.2,1.86926,1.06888,1.03428,1.56481,0.79352,0.94031,0.22447,0.661555,0.586032,0.607232,0.358317,nan,nan,nan,nan,nan,nan,nan,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497
85,12765.5,1.87824,1.06426,1.03437,1.56347,0.78663,0.94127,0.22257,0.660674,0.588932,0.607722,0.358772,nan,nan,nan,nan,nan,nan,nan,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
86,12915.8,1.85415,1.05589,1.02944,1.56443,0.78977,0.94012,0.22491,0.659856,0.589639,0.60851,0.359593,nan,nan,nan,nan,nan,nan,nan,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
87,13066.7,1.85052,1.05018,1.02626,1.56013,0.78624,0.93485,0.2218,0.661003,0.589231,0.608956,0.360293,nan,nan,nan,nan,nan,nan,nan,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
88,13218.6,1.85289,1.05455,1.03246,1.56011,0.78677,0.94441,0.21687,0.658727,0.589819,0.609447,0.360934,nan,nan,nan,nan,nan,nan,nan,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887
89,13373.5,1.84782,1.04474,1.02817,1.55611,0.78187,0.93915,0.2204,0.660279,0.591369,0.610717,0.361006,nan,nan,nan,nan,nan,nan,nan,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
90,13529,1.83745,1.0414,1.02829,1.55506,0.78216,0.93951,0.20736,0.65724,0.59185,0.610432,0.361767,nan,nan,nan,nan,nan,nan,nan,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914
91,13681.6,1.83659,1.03838,1.02437,1.54848,0.77456,0.93586,0.21793,0.653832,0.593622,0.610949,0.362459,nan,nan,nan,nan,nan,nan,nan,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
92,13833.4,1.83335,1.03811,1.02291,1.54473,0.77331,0.93363,0.22575,0.652525,0.594039,0.611062,0.363157,nan,nan,nan,nan,nan,nan,nan,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864
93,13985.4,1.82744,1.03503,1.02158,1.54194,0.77457,0.93319,0.22133,0.649971,0.595871,0.611318,0.363667,nan,nan,nan,nan,nan,nan,nan,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
94,14137.2,1.83383,1.03337,1.02369,1.54106,0.77281,0.93311,0.21479,0.650433,0.595234,0.611163,0.364237,nan,nan,nan,nan,nan,nan,nan,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723
95,14290.3,1.82188,1.02374,1.01695,1.54269,0.77082,0.93287,0.21775,0.649046,0.596336,0.611964,0.364783,nan,nan,nan,nan,nan,nan,nan,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
96,14442.5,1.81479,1.02524,1.0179,1.53818,0.77188,0.93564,0.22011,0.652037,0.597329,0.613314,0.365747,nan,nan,nan,nan,nan,nan,nan,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
97,14595.3,1.80721,1.01877,1.01513,1.5314,0.76549,0.93394,0.21423,0.653626,0.598646,0.614163,0.366857,nan,nan,nan,nan,nan,nan,nan,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
