epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,9649.75,1.97005,1.14482,1.05657,1.62769,0.83281,0.96437,2.59413,0.608968,0.565186,0.583222,0.334107,nan,nan,nan,nan,nan,nan,nan,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427
63,9803.85,1.9643,1.14071,1.0501,1.62686,0.83435,0.95787,2.69024,0.608694,0.570132,0.58413,0.335972,nan,nan,nan,nan,nan,nan,nan,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
64,9961.24,1.95636,1.13825,1.04128,1.62228,0.83887,0.95709,2.65515,0.616042,0.570153,0.58641,0.337048,nan,nan,nan,nan,nan,nan,nan,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631
65,10116,1.94679,1.13155,1.04595,1.60875,0.82458,0.95631,2.53199,0.621212,0.572862,0.587547,0.338541,nan,nan,nan,nan,nan,nan,nan,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
66,10270.8,1.95572,1.1485,1.04892,1.61738,0.8306,0.95851,2.59848,0.618387,0.576523,0.587316,0.339285,nan,nan,nan,nan,nan,nan,nan,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
67,10425.3,1.94348,1.13448,1.04698,1.61389,0.82393,0.9574,2.55216,0.622238,0.576648,0.589169,0.339732,nan,nan,nan,nan,nan,nan,nan,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
68,10578.3,1.93871,1.12278,1.0442,1.60425,0.82366,0.95658,2.48038,0.622102,0.576888,0.590549,0.340813,nan,nan,nan,nan,nan,nan,nan,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033
69,10730.6,1.94164,1.12111,1.03749,1.61263,0.8249,0.95197,2.54554,0.623603,0.580732,0.591837,0.342479,nan,nan,nan,nan,nan,nan,nan,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
70,10881,1.92699,1.11327,1.04024,1.60379,0.82137,0.95407,2.56119,0.618678,0.583211,0.592031,0.34335,nan,nan,nan,nan,nan,nan,nan,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075
71,11032.7,1.92486,1.10562,1.03607,1.60829,0.82304,0.95585,2.55393,0.623683,0.580726,0.593307,0.344388,nan,nan,nan,nan,nan,nan,nan,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
72,11186.1,1.91206,1.09951,1.0357,1.59112,0.81299,0.94935,2.50028,0.624634,0.581893,0.594034,0.345078,nan,nan,nan,nan,nan,nan,nan,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013
73,11341.2,1.91212,1.09571,1.03102,1.59977,0.81684,0.95153,2.44862,0.625318,0.583691,0.594876,0.345676,nan,nan,nan,nan,nan,nan,nan,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
74,11496.7,1.9144,1.09656,1.03407,1.59633,0.81035,0.95131,2.49299,0.630614,0.582711,0.595578,0.346664,nan,nan,nan,nan,nan,nan,nan,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846
75,11653.5,1.90458,1.09051,1.0279,1.59007,0.80417,0.94791,2.49232,0.629145,0.585084,0.597159,0.348138,nan,nan,nan,nan,nan,nan,nan,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
76,11809.6,1.89838,1.08868,1.02402,1.58257,0.80147,0.94434,2.45803,0.631204,0.586607,0.598436,0.348784,nan,nan,nan,nan,nan,nan,nan,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
77,11964.4,1.89328,1.08092,1.02597,1.58675,0.80489,0.94831,2.47856,0.635074,0.586001,0.59892,0.350101,nan,nan,nan,nan,nan,nan,nan,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
78,12116.6,1.88038,1.0802,1.02249,1.58016,0.80311,0.94547,2.4493,0.630804,0.587075,0.599631,0.350747,nan,nan,nan,nan,nan,nan,nan,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207
79,12268.6,1.88915,1.08418,1.02439,1.58039,0.79985,0.94552,2.44115,0.632515,0.587775,0.600886,0.351633,nan,nan,nan,nan,nan,nan,nan,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
80,12420.9,1.8928,1.07628,1.02395,1.57433,0.79648,0.94349,2.45137,0.629871,0.591677,0.601638,0.352628,nan,nan,nan,nan,nan,nan,nan,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736
81,12574.3,1.87041,1.06311,1.02408,1.57174,0.79557,0.94544,2.4698,0.634706,0.590657,0.602626,0.353104,nan,nan,nan,nan,nan,nan,nan,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
